ID,Address,AddressLine1,City,State,ZipCode,PropertyType,Bathrooms,Bedrooms,Price,SquareFeet,Latitude,Longitude
"143-Nw-85th-St,-Seattle,-WA-98117","143 Nw 85th St, Seattle, WA 98117",143 Nw 85th St,Seattle,WA,98117,Apartment,1,0,900,,47.690392,-122.359803
"1430-Nw-64th-St,-Seattle,-WA-98107","1430 Nw 64th St, Seattle, WA 98107",1430 Nw 64th St,Seattle,WA,98107,Apartment,1,1,1950,,47.675505,-122.375102
"14300-32nd-Ave-NE,-Apt-410,-Seattle,-WA-98125","14300 32nd Ave NE, Apt 410, Seattle, WA 98125",14300 32nd Ave NE,Seattle,WA,98125,Single Family,1,1,1425,600,47.732189,-122.293462
"14300-Greenwood-Ave-N,-Seattle,-WA-98133","14300 Greenwood Ave N, Seattle, WA 98133",14300 Greenwood Ave N,Seattle,WA,98133,Apartment,1,1,1750,,47.732525,-122.355057
"1443-Nw-63rd-St,-Seattle,-WA-98107","1443 Nw 63rd St, Seattle, WA 98107",1443 Nw 63rd St,Seattle,WA,98107,Apartment,1,0,1265,,47.674319,-122.375511
"1500-15th-Ave-E,-Seattle,-WA-98112","1500 15th Ave E, Seattle, WA 98112",1500 15th Ave E,Seattle,WA,98112,Apartment,1,1,1595,,47.632525,-122.312188
"1501-California-Ave-SW,-Seattle,-WA-98116","1501 California Ave SW, Seattle, WA 98116",1501 California Ave SW,Seattle,WA,98116,Apartment,1,1,1995,,47.590264,-122.386591
"1501-Nw-56th-St,-Seattle,-WA-98107","1501 Nw 56th St, Seattle, WA 98107",1501 Nw 56th St,Seattle,WA,98107,Apartment,1,1,1780,504,47.669125,-122.37698
"1505-Queen-Anne-Ave-N,-Seattle,-WA-98109","1505 Queen Anne Ave N, Seattle, WA 98109",1505 Queen Anne Ave N,Seattle,WA,98109,Apartment,2,2,2995,,47.632562,-122.357185
"151-John-St,-Seattle,-WA-98109","151 John St, Seattle, WA 98109",151 John St,Seattle,WA,98109,Apartment,1,1,2690,,47.619589,-122.353765
"1510-13th-Ave-S,-Seattle,-WA-98144","1510 13th Ave S, Seattle, WA 98144",1510 13th Ave S,Seattle,WA,98144,Apartment,1,2,1500,,47.589474,-122.315689
"1511-Boylston-Ave,-Seattle,-WA-98122","1511 Boylston Ave, Seattle, WA 98122",1511 Boylston Ave,Seattle,WA,98122,Apartment,1,1,1495,,47.614529,-122.323732
"1515-Bellevue-Ave,-Seattle,-WA-98122","1515 Bellevue Ave, Seattle, WA 98122",1515 Bellevue Ave,Seattle,WA,98122,Apartment,1,1,1790,,47.614521,-122.327161
"1515-Nw-52nd-St,-Seattle,-WA-98107","1515 Nw 52nd St, Seattle, WA 98107",1515 Nw 52nd St,Seattle,WA,98107,Apartment,1,2,2125,,47.666206,-122.377133
"1516-Nw-51st-St,-Seattle,-WA-98107","1516 Nw 51st St, Seattle, WA 98107",1516 Nw 51st St,Seattle,WA,98107,Apartment,1,,1720,,47.665933,-122.377045
"1519-E-Spring-St,-Seattle,-WA-98122","1519 E Spring St, Seattle, WA 98122",1519 E Spring St,Seattle,WA,98122,Apartment,1,0,895,,47.611378,-122.311857
"1522-Ne-175th-St,-Unit-101,-Seattle,-WA-98155","1522 Ne 175th St, Unit 101, Seattle, WA 98155",1522 Ne 175th St,Seattle,WA,98155,Single Family,2,2,1750,857,47.756236,-122.312439
"1523-E-Madison-St,-Seattle,-WA-98122","1523 E Madison St, Seattle, WA 98122",1523 E Madison St,Seattle,WA,98122,Apartment,1,0,1300,,47.61472,-122.311685
"1525-14th-Ave,-Seattle,-WA-98122","1525 14th Ave, Seattle, WA 98122",1525 14th Ave,Seattle,WA,98122,Apartment,1,1,2353,623,47.614941,-122.314629
"1525-9th-Ave,-Seattle,-WA-98101","1525 9th Ave, Seattle, WA 98101",1525 9th Ave,Seattle,WA,98101,Apartment,,,2731,,47.61317,-122.332154
"1530-15th-Ave,-Seattle,-WA-98122","1530 15th Ave, Seattle, WA 98122",1530 15th Ave,Seattle,WA,98122,Apartment,1,1,2082,,47.614954,-122.312427
"1530-Belmont-Ave,-Seattle,-WA-98122","1530 Belmont Ave, Seattle, WA 98122",1530 Belmont Ave,Seattle,WA,98122,Apartment,1,2,2230,506,47.61459,-122.324051
"1532-Nw-51st-St,-Seattle,-WA-98107","1532 Nw 51st St, Seattle, WA 98107",1532 Nw 51st St,Seattle,WA,98107,Apartment,1,1,1525,,47.665935,-122.377639
"1535-Bellevue-Ave,-Seattle,-WA-98122","1535 Bellevue Ave, Seattle, WA 98122",1535 Bellevue Ave,Seattle,WA,98122,Apartment,1,1,2492,,47.615059,-122.327153
"1537-Nw-56th-St,-Seattle,-WA-98107","1537 Nw 56th St, Seattle, WA 98107",1537 Nw 56th St,Seattle,WA,98107,Apartment,,,2735,,47.669231,-122.378028
"1545-Nw-Market-St,-Seattle,-WA-98107","1545 Nw Market St, Seattle, WA 98107",1545 Nw Market St,Seattle,WA,98107,Apartment,1,2,2273,,47.668319,-122.378212
"155-17th-Ave,-Seattle,-WA-98122","155 17th Ave, Seattle, WA 98122",155 17th Ave,Seattle,WA,98122,Apartment,1,0,1225,,47.602975,-122.310536
"1551-Minor-Ave,-Seattle,-WA-98101","1551 Minor Ave, Seattle, WA 98101",1551 Minor Ave,Seattle,WA,98101,Apartment,1,,1850,,47.61446,-122.32865
"1551-Nw-54th-St,-Seattle,-WA-98107","1551 Nw 54th St, Seattle, WA 98107",1551 Nw 54th St,Seattle,WA,98107,Single Family,2,1,1700,,47.667686,-122.378201
"1552-Nw-52nd-St,-Seattle,-WA-98107","1552 Nw 52nd St, Seattle, WA 98107",1552 Nw 52nd St,Seattle,WA,98107,Apartment,1,1,1700,,47.6668,-122.37845
"1600-2nd-Ave,-Seattle,-WA-98101","1600 2nd Ave, Seattle, WA 98101",1600 2nd Ave,Seattle,WA,98101,Apartment,1,1,2890,584,47.61093,-122.33982
"1601-9th-Ave,-Seattle,-WA-98101","1601 9th Ave, Seattle, WA 98101",1601 9th Ave,Seattle,WA,98101,Apartment,1,1,2289,653,47.61355,-122.332501
"1611-8th-Ave-N,-Seattle,-WA-98109","1611 8th Ave N, Seattle, WA 98109",1611 8th Ave N,Seattle,WA,98109,Apartment,1,0,1123,,47.633411,-122.341444
"1613-Summit-Ave,-Seattle,-WA-98122","1613 Summit Ave, Seattle, WA 98122",1613 Summit Ave,Seattle,WA,98122,Apartment,1,1,1725,,47.615642,-122.325899
"1615-15th-Ave,-Seattle,-WA-98122","1615 15th Ave, Seattle, WA 98122",1615 15th Ave,Seattle,WA,98122,Apartment,1,1,1795,,47.615792,-122.313146
"1616-E-Howell-St,-Seattle,-WA-98122","1616 E Howell St, Seattle, WA 98122",1616 E Howell St,Seattle,WA,98122,Apartment,1,1,2595,,47.617734,-122.310516
"1622-Aurora-Ave-N,-Seattle,-WA-98109","1622 Aurora Ave N, Seattle, WA 98109",1622 Aurora Ave N,Seattle,WA,98109,Apartment,2,2,1850,947,47.634104,-122.34312
"1627-10th-Ave-W,-Seattle,-WA-98119","1627 10th Ave W, Seattle, WA 98119",1627 10th Ave W,Seattle,WA,98119,Apartment,1,0,1700,,47.634384,-122.370764
"165-17th-Ave,-Seattle,-WA-98122","165 17th Ave, Seattle, WA 98122",165 17th Ave,Seattle,WA,98122,Apartment,1,2,2395,,47.603244,-122.31051
"168-Boston-St,-Seattle,-WA-98109","168 Boston St, Seattle, WA 98109",168 Boston St,Seattle,WA,98109,Apartment,1,2,1795,,47.638482,-122.353517
"170-11th-Ave,-Seattle,-WA-98122","170 11th Ave, Seattle, WA 98122",170 11th Ave,Seattle,WA,98122,Apartment,1,1,1725,,47.603352,-122.317726
"1700-Summit-Ave,-Seattle,-WA-98122","1700 Summit Ave, Seattle, WA 98122",1700 Summit Ave,Seattle,WA,98122,Apartment,1,1,1695,435,47.616517,-122.32522
"1701-12th-Ave-S,-Seattle,-WA-98144","1701 12th Ave S, Seattle, WA 98144",1701 12th Ave S,Seattle,WA,98144,Apartment,1,,1825,,47.58797,-122.317653
"1701-Nw-56th-St,-Seattle,-WA-98107","1701 Nw 56th St, Seattle, WA 98107",1701 Nw 56th St,Seattle,WA,98107,Apartment,,,1653,,47.669232,-122.379119
"1703-E-Union-St,-Seattle,-WA-98122","1703 E Union St, Seattle, WA 98122",1703 E Union St,Seattle,WA,98122,Apartment,1,2,2495,,47.612716,-122.309874
"1705-Belmont-Ave,-Seattle,-WA-98122","1705 Belmont Ave, Seattle, WA 98122",1705 Belmont Ave,Seattle,WA,98122,Apartment,1,,1600,,47.616565,-122.324815
"1710-Dexter-Ave-N-Unit-A,-Seattle,-WA-98109","1710 Dexter Ave N Unit A, Seattle, WA 98109",1710 Dexter Ave N Unit A,Seattle,WA,98109,Townhouse,2,2,2600,1090,47.634209,-122.341825
"1711-E-Olive-Way,-Apt-302,-Seattle,-WA-98102","1711 E Olive Way, Apt 302, Seattle, WA 98102",1711 E Olive Way,Seattle,WA,98102,Apartment,1,1,2695,711,47.619454,-122.323157
"1711-Summit-Ave,-Seattle,-WA-98122","1711 Summit Ave, Seattle, WA 98122",1711 Summit Ave,Seattle,WA,98122,Apartment,1,0,1150,,47.616764,-122.325913
"1713-Dexter-Ave-N,-Seattle,-WA-98109","1713 Dexter Ave N, Seattle, WA 98109",1713 Dexter Ave N,Seattle,WA,98109,Apartment,1,1,2195,,47.634418,-122.342597
"1714-Ne-65th-St,-Seattle,-WA-98115","1714 Ne 65th St, Seattle, WA 98115",1714 Ne 65th St,Seattle,WA,98115,Apartment,2,2,1995,,47.676015,-122.30897
"1715-12th-Ave,-Seattle,-WA-98122","1715 12th Ave, Seattle, WA 98122",1715 12th Ave,Seattle,WA,98122,Apartment,1,0,1275,,47.616904,-122.317288
"1715-Nw-58th-St,-Seattle,-WA-98107","1715 Nw 58th St, Seattle, WA 98107",1715 Nw 58th St,Seattle,WA,98107,Apartment,1,0,900,,47.670692,-122.379524
"1717-12th-Ave,-Seattle,-WA-98122","1717 12th Ave, Seattle, WA 98122",1717 12th Ave,Seattle,WA,98122,Apartment,1,0,1495,,47.617013,-122.31729
"1717-Summit-Ave,-Seattle,-WA-98122","1717 Summit Ave, Seattle, WA 98122",1717 Summit Ave,Seattle,WA,98122,Apartment,1,0,1295,,47.616902,-122.325915
"1718-Summit-Ave,-Seattle,-WA-98122","1718 Summit Ave, Seattle, WA 98122",1718 Summit Ave,Seattle,WA,98122,Apartment,1,1,1250,,47.616906,-122.325226
"1723-Summit-Ave,-Seattle,-WA-98122","1723 Summit Ave, Seattle, WA 98122",1723 Summit Ave,Seattle,WA,98122,Apartment,1,0,1150,,47.617032,-122.325917
"1727-14th-Ave,-Seattle,-WA-98122","1727 14th Ave, Seattle, WA 98122",1727 14th Ave,Seattle,WA,98122,Apartment,1,2,1995,,47.617132,-122.314485
"1736-Summit-Ave,-Seattle,-WA-98122","1736 Summit Ave, Seattle, WA 98122",1736 Summit Ave,Seattle,WA,98122,Apartment,1,1,1320,,47.617454,-122.325233
"1800-Boren-Ave,-Seattle,-WA-98101","1800 Boren Ave, Seattle, WA 98101",1800 Boren Ave,Seattle,WA,98101,Apartment,1,0,2388,,47.61651,-122.33137
"1800-S-Jackson-St,-Seattle,-WA-98144","1800 S Jackson St, Seattle, WA 98144",1800 S Jackson St,Seattle,WA,98144,Apartment,1,1,1720,,47.599667,-122.308315
"1811-17th-Ave,-Seattle,-WA-98122","1811 17th Ave, Seattle, WA 98122",1811 17th Ave,Seattle,WA,98122,Apartment,2,2,1695,,47.618013,-122.310516
"1812-E-Republican-St,-Seattle,-WA-98112","1812 E Republican St, Seattle, WA 98112",1812 E Republican St,Seattle,WA,98112,Apartment,1,0,1395,,47.623394,-122.307752
"1814-E-John-St,-Unit-105,-Seattle,-WA-98112","1814 E John St, Unit 105, Seattle, WA 98112",1814 E John St,Seattle,WA,98112,Apartment,1,,1195,261,47.619865,-122.308006
"1814-E-John-St,-Unit-215,-Seattle,-WA-98112","1814 E John St, Unit 215, Seattle, WA 98112",1814 E John St,Seattle,WA,98112,Apartment,1,,1195,233,47.619865,-122.308006
"1814-E-John-St,-Unit-212,-Seattle,-WA-98112","1814 E John St, Unit 212, Seattle, WA 98112",1814 E John St,Seattle,WA,98112,Apartment,1,,1195,251,47.619865,-122.308006
"1814-E-John-St,-Unit-B02,-Seattle,-WA-98112","1814 E John St, Unit B02, Seattle, WA 98112",1814 E John St,Seattle,WA,98112,Apartment,1,,1150,264,47.619865,-122.308006
"1815-Bellevue-Ave,-Seattle,-WA-98122","1815 Bellevue Ave, Seattle, WA 98122",1815 Bellevue Ave,Seattle,WA,98122,Apartment,1,0,1075,,47.6182,-122.32713
"1819-Nw-Central-Pl,---2-306,-Seattle,-WA-98107","1819 Nw Central Pl, # 2-306, Seattle, WA 98107",1819 Nw Central Pl,Seattle,WA,98107,Apartment,1,1,1595,645,47.666723,-122.380382
"1823-18th-Ave,-Seattle,-WA-98122","1823 18th Ave, Seattle, WA 98122",1823 18th Ave,Seattle,WA,98122,Apartment,1,2,1350,,47.618349,-122.309209
"1823-Minor-Ave,-Seattle,-WA-98101","1823 Minor Ave, Seattle, WA 98101",1823 Minor Ave,Seattle,WA,98101,Apartment,1,2,1995,1266,47.617062,-122.331501
"1823-Terry-Ave,-Seattle,-WA-98101","1823 Terry Ave, Seattle, WA 98101",1823 Terry Ave,Seattle,WA,98101,Apartment,,,2103,,47.615863,-122.333437
"1850-N-34th-St,-Seattle,-WA-98103","1850 N 34th St, Seattle, WA 98103",1850 N 34th St,Seattle,WA,98103,Apartment,,,2471,,47.64823,-122.33596
"1901-Franklin-Ave-E,-Seattle,-WA-98102","1901 Franklin Ave E, Seattle, WA 98102",1901 Franklin Ave E,Seattle,WA,98102,Apartment,1,0,1517,,47.636037,-122.324936
"1904-N-140th-St,-Seattle,-WA-98133","1904 N 140th St, Seattle, WA 98133",1904 N 140th St,Seattle,WA,98133,Single Family,2,5,4000,1970,47.730633,-122.335593
"1911-E-Roy-St,-Seattle,-WA-98112","1911 E Roy St, Seattle, WA 98112",1911 E Roy St,Seattle,WA,98112,Apartment,1,1,1495,,47.624998,-122.306714
"1915-2nd-Ave,-Seattle,-WA-98101","1915 2nd Ave, Seattle, WA 98101",1915 2nd Ave,Seattle,WA,98101,Apartment,,,1796,,47.611037,-122.341181
"1925-Eastlake-Ave-E,-Seattle,-WA-98102","1925 Eastlake Ave E, Seattle, WA 98102",1925 Eastlake Ave E,Seattle,WA,98102,Apartment,1,1,1500,,47.636609,-122.326219
"1938-11th-Ave-W,-Seattle,-WA-98119","1938 11th Ave W, Seattle, WA 98119",1938 11th Ave W,Seattle,WA,98119,Apartment,1,1,2750,,47.637223,-122.371311
"200-2nd-Ave-W,-Seattle,-WA-98119","200 2nd Ave W, Seattle, WA 98119",200 2nd Ave W,Seattle,WA,98119,Apartment,1,1,2134,543,47.620038,-122.358981
"2003-Nw-57th-St,-Seattle,-WA-98107","2003 Nw 57th St, Seattle, WA 98107",2003 Nw 57th St,Seattle,WA,98107,Apartment,,,2339,,47.669952,-122.382726
"2009-23rd-Ave-W,-Seattle,-WA-98199","2009 23rd Ave W, Seattle, WA 98199",2009 23rd Ave W,Seattle,WA,98199,Apartment,1,1,1295,,47.637394,-122.386516
"201-W-Harrison-St,-Seattle,-WA-98119","201 W Harrison St, Seattle, WA 98119",201 W Harrison St,Seattle,WA,98119,Apartment,1,0,1295,,47.621946,-122.359715
"2015-2nd-Ave,-Seattle,-WA-98121","2015 2nd Ave, Seattle, WA 98121",2015 2nd Ave,Seattle,WA,98121,Apartment,1,1,2531,697,47.611861,-122.342573
"2020-E-Madison-St,-Seattle,-WA-98122","2020 E Madison St, Seattle, WA 98122",2020 E Madison St,Seattle,WA,98122,Apartment,,,1972,,47.617882,-122.305277
"2037-Yale-Ave-E,-Seattle,-WA-98102","2037 Yale Ave E, Seattle, WA 98102",2037 Yale Ave E,Seattle,WA,98102,Apartment,1,0,1275,,47.637847,-122.327458
"205-19th-Ave-E,-Seattle,-WA-98112","205 19th Ave E, Seattle, WA 98112",205 19th Ave E,Seattle,WA,98112,Apartment,1,0,1495,,47.619895,-122.307573
"205-Summit-Ave-E,-Seattle,-WA-98102","205 Summit Ave E, Seattle, WA 98102",205 Summit Ave E,Seattle,WA,98102,Apartment,1,1,1450,,47.619825,-122.325645
"206-5th-Ave-N,-Seattle,-WA-98109","206 5th Ave N, Seattle, WA 98109",206 5th Ave N,Seattle,WA,98109,Apartment,1,1,1982,804,47.62004,-122.34724
"206-Bell-St,-Seattle,-WA-98121","206 Bell St, Seattle, WA 98121",206 Bell St,Seattle,WA,98121,Apartment,,,1521,,47.61441,-122.345676
"20810-31st-Ln-S,-Seattle,-WA-98198","20810 31st Ln S, Seattle, WA 98198",20810 31st Ln S,Seattle,WA,98198,Apartment,1.5,2,1634,950,47.415042,-122.292573
"209-219-22nd-Ave-S,-Seattle,-WA-98144","209-219 22nd Ave S, Seattle, WA 98144",209-219 22nd Ave S,Seattle,WA,98144,Apartment,1,2,2200,,47.600567,-122.303595
"210-Wall-St,-Seattle,-WA-98121","210 Wall St, Seattle, WA 98121",210 Wall St,Seattle,WA,98121,Apartment,1,1,2660,776,47.61584,-122.348093
"2108-N-Pacific-St,-Seattle,-WA-98103","2108 N Pacific St, Seattle, WA 98103",2108 N Pacific St,Seattle,WA,98103,Apartment,,,1650,,47.648463,-122.333306
"2113-N-107th-St,-Seattle,-WA-98133","2113 N 107th St, Seattle, WA 98133",2113 N 107th St,Seattle,WA,98133,Apartment,1,1,1495,,47.706626,-122.333308
"2116-4th-Ave,-Seattle,-WA-98121","2116 4th Ave, Seattle, WA 98121",2116 4th Ave,Seattle,WA,98121,Apartment,1,1,3153,770,47.61442,-122.341719
"2117-Waverly-Pl-N,-Seattle,-WA-98109","2117 Waverly Pl N, Seattle, WA 98109",2117 Waverly Pl N,Seattle,WA,98109,Apartment,1,1,1650,,47.638313,-122.34298
"212-Harvard-Ave-E,-Seattle,-WA-98102","212 Harvard Ave E, Seattle, WA 98102",212 Harvard Ave E,Seattle,WA,98102,Apartment,1,1,1595,,47.620403,-122.321837
"2121-6th-Ave,-Seattle,-WA-98121","2121 6th Ave, Seattle, WA 98121",2121 6th Ave,Seattle,WA,98121,Apartment,1,1,2080,645,47.61528,-122.34039
"2121-E-Jefferson-St,-Apt-305,-Seattle,-WA-98122","2121 E Jefferson St, Apt 305, Seattle, WA 98122",2121 E Jefferson St,Seattle,WA,98122,Apartment,1,1,1650,627,47.605827,-122.304161
"2121-E-Jefferson-St,-Seattle,-WA-98122","2121 E Jefferson St, Seattle, WA 98122",2121 E Jefferson St,Seattle,WA,98122,Apartment,1,2,1795,,47.605827,-122.304105
"2132-California-Ave-SW,-Seattle,-WA-98116","2132 California Ave SW, Seattle, WA 98116",2132 California Ave SW,Seattle,WA,98116,Apartment,1,1,1695,,47.584316,-122.385995
"2134-Western-Ave,-Seattle,-WA-98121","2134 Western Ave, Seattle, WA 98121",2134 Western Ave,Seattle,WA,98121,Apartment,,,1663,,47.611912,-122.345449
"215-1st-Ave-W,-Seattle,-WA-98119","215 1st Ave W, Seattle, WA 98119",215 1st Ave W,Seattle,WA,98119,Apartment,1,0,1996,,47.620118,-122.358424
"215-Boylston-Ave-E,-Unit-601,-Seattle,-WA-98102","215 Boylston Ave E, Unit 601, Seattle, WA 98102",215 Boylston Ave E,Seattle,WA,98102,Condo,1,1,2595,725,47.620369,-122.323326
"219-Bellevue-Ave-E,-Seattle,-WA-98102","219 Bellevue Ave E, Seattle, WA 98102",219 Bellevue Ave E,Seattle,WA,98102,Apartment,1,1,1350,,47.620089,-122.327013
"219-E-Garfield-St,-Seattle,-WA-98102","219 E Garfield St, Seattle, WA 98102",219 E Garfield St,Seattle,WA,98102,Apartment,1,0,1725,,47.63362,-122.32535
"219-Harvard-Ave-E,-Seattle,-WA-98102","219 Harvard Ave E, Seattle, WA 98102",219 Harvard Ave E,Seattle,WA,98102,Apartment,1,2,2795,,47.62046,-122.322478
"220-10th-Ave,-Seattle,-WA-98122","220 10th Ave, Seattle, WA 98122",220 10th Ave,Seattle,WA,98122,Apartment,1,0,845,230,47.604188,-122.319032
"220-16th-Ave-E,-Seattle,-WA-98112","220 16th Ave E, Seattle, WA 98112",220 16th Ave E,Seattle,WA,98112,Apartment,1,1,2050,,47.620317,-122.311001
"2200-Minor-Ave-E,-Seattle,-WA-98102","2200 Minor Ave E, Seattle, WA 98102",2200 Minor Ave E,Seattle,WA,98102,Apartment,1,2,1975,,47.638412,-122.327984
"2201-4th-Ave,-Seattle,-WA-98121","2201 4th Ave, Seattle, WA 98121",2201 4th Ave,Seattle,WA,98121,Apartment,,,1828,,47.614618,-122.343274
"2201-Eastlake-Ave-E,-Seattle,-WA-98102","2201 Eastlake Ave E, Seattle, WA 98102",2201 Eastlake Ave E,Seattle,WA,98102,Apartment,1,0,1995,,47.63855,-122.326118
"2201-S-Main-St,-Seattle,-WA-98144","2201 S Main St, Seattle, WA 98144",2201 S Main St,Seattle,WA,98144,Apartment,1,1,1295,,47.600128,-122.302963
"2201-Sw-Holden-St,-Seattle,-WA-98106","2201 Sw Holden St, Seattle, WA 98106",2201 Sw Holden St,Seattle,WA,98106,Apartment,1,1,1765,650,47.53278,-122.36267
"2203-E-Union-St,-Seattle,-WA-98122","2203 E Union St, Seattle, WA 98122",2203 E Union St,Seattle,WA,98122,Apartment,1,0,1550,,47.612673,-122.303177
"221-Minor-Ave-N,-Seattle,-WA-98109","221 Minor Ave N, Seattle, WA 98109",221 Minor Ave N,Seattle,WA,98109,Apartment,1,1,2397,534,47.620327,-122.333344
"221-W-Mercer-St,-Seattle,-WA-98119","221 W Mercer St, Seattle, WA 98119",221 W Mercer St,Seattle,WA,98119,Apartment,1,0,1375,,47.624364,-122.360418
"2215-Eastlake-Ave-E,-Seattle,-WA-98102","2215 Eastlake Ave E, Seattle, WA 98102",2215 Eastlake Ave E,Seattle,WA,98102,Apartment,1,0,1250,,47.63874,-122.326254
"2220-Eastlake-Ave-E,-Seattle,-WA-98102","2220 Eastlake Ave E, Seattle, WA 98102",2220 Eastlake Ave E,Seattle,WA,98102,Apartment,1,2,1900,,47.638795,-122.325534
"2230-4th-Ave,-Seattle,-WA-98121","2230 4th Ave, Seattle, WA 98121",2230 4th Ave,Seattle,WA,98121,Apartment,1,0,1198,,47.615405,-122.343387
"2230-N-106th-St,-Seattle,-WA-98133","2230 N 106th St, Seattle, WA 98133",2230 N 106th St,Seattle,WA,98133,Apartment,1,2,1895,,47.706139,-122.331009
"2233-1st-Ave,-Seattle,-WA-98121","2233 1st Ave, Seattle, WA 98121",2233 1st Ave,Seattle,WA,98121,Apartment,1,1,2195,,47.613058,-122.346583
"2233-Nw-58th-St,-Seattle,-WA-98107","2233 Nw 58th St, Seattle, WA 98107",2233 Nw 58th St,Seattle,WA,98107,Apartment,,,1379,,47.67055,-122.386739
"2233-Ne-46th-St,-Seattle,-WA-98105","2233 Ne 46th St, Seattle, WA 98105",2233 Ne 46th St,Seattle,WA,98105,Apartment,1,1,1895,,47.661535,-122.303133
"224-Harvard-Ave-E,-Seattle,-WA-98102","224 Harvard Ave E, Seattle, WA 98102",224 Harvard Ave E,Seattle,WA,98102,Apartment,1,1,1495,,47.620704,-122.321843
